variant,removed_block,n_features_nominal,n_seeds,spearman_rho_mean,spearman_rho_std,spearman_rho_min,spearman_rho_max,pearson_r_mean,pearson_r_std,pearson_r_min,pearson_r_max,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max
full,none,192,5,0.737619411629435,0.0010581141000225846,0.7364361688690969,0.7391342181718252,0.7144568909817067,0.001319098780618483,0.7126728546168081,0.7160122560293923,0.3474859477872564,0.0005438168210787777,0.3467823184729738,0.3480222698726067,0.45282031819847257,0.0008580816282330987,0.45182018262443896,0.45398190859521553,0.509440389941515,0.0018594236207327354,0.5069217772550941,0.5116063791355365
minus_pair_alignment,pair_alignment,181,5,0.730418278361687,0.000927034266219791,0.729101657003333,0.731526292773961,0.7057873667467799,0.0010439716748326276,0.7044094471124559,0.7068846787674359,0.35819939029891656,0.0003508158834583589,0.35792565899042555,0.35873717964565754,0.46094209390759977,0.00048559312265048616,0.46041030536671573,0.4616201300229566,0.4916862524684392,0.0010711894488942477,0.4901901675863446,0.4928589085225291
minus_pair_position,pair_position,117,5,0.7384503862844253,0.0007433089044032714,0.7378028690656349,0.7395651665972581,0.7146797931315758,0.0006399788759811002,0.7141693723057212,0.7155179508172429,0.34800156774390123,0.00019988563266986283,0.3477957079767765,0.34826950941790336,0.45278640928704805,0.00039629435555230466,0.4522656872932898,0.45309317282053485,0.5095149655865753,0.0008584146227703457,0.5088504326128294,0.5106427705281669
minus_substitution_type,substitution_type,180,5,0.7251312592795757,0.0013258997316042713,0.7232857163261381,0.7270045786953141,0.7037736890212771,0.0016185954751981957,0.7015687609519892,0.7060971887695197,0.35436446954981377,0.0007838264371540554,0.3532479334446347,0.35545199584001486,0.45955330769036085,0.0009834473898549917,0.45815428548449766,0.46090644326841707,0.49474326299148663,0.0021623419710301776,0.49176532967560904,0.49781673533723303
minus_sequence_composition,sequence_composition,160,5,0.7362186585914483,0.000830466327147567,0.7349812017937434,0.737013935175352,0.7135016314788315,0.0009211036086711184,0.7125547315669108,0.7147059964606592,0.34780285655367005,0.0002974288543342885,0.347320229694153,0.3480998294156965,0.4534403811802957,0.0005755754094398597,0.4526567185875981,0.4540369536714775,0.5080967676687828,0.0012485138220985326,0.5068021990370706,0.509796203039047
minus_sequence_context,sequence_context,134,5,0.7084843784211448,0.0011337504035450554,0.7071819416119863,0.7096037951798186,0.6814056999641789,0.00127132790732119,0.6794506324804364,0.6828180847554175,0.3636517862703438,0.0004876183599053297,0.36317158629894764,0.3644545611896993,0.4732090761297731,0.0007549128267344518,0.47237710505612157,0.474374937510986,0.4642702736078217,0.0017100674916765669,0.46162832656969377,0.466153487657903
minus_thermodynamic,thermodynamic,188,5,0.7368873413473495,0.000841856098559982,0.7360122325347023,0.7380581544998065,0.7130190857056276,0.0010564398513897076,0.7123208323380846,0.7148085227383859,0.34859406882294885,0.0005539761106883608,0.3476782985364568,0.3491827163406731,0.45372901457045867,0.0006712217599187675,0.45261467330496274,0.45419285142805704,0.5074701077809093,0.0014562088424022535,0.5064634529051862,0.509887264539406
