mode,rows_evaluated,median_hamming,mean_hamming,computed_reference_n,computed_exact_agreement,computed_mae,computed_correlation,raw_reference_n,raw_exact_agreement,raw_mae,raw_correlation
direct,10634,1.0,1.3322362234342675,10634,1.0,0.0,0.9999999999999998,10634,0.9159300357344368,0.6609930411886402,0.18990473215811496
complement,10634,25.0,24.587643407936806,10634,0.000470189956742524,23.263682527741206,-0.8202242739743898,10634,0.0,23.749576829038933,-0.15903094130962786
reverse,10634,18.0,17.614820387436524,10634,0.0020688358096671057,16.301955990220048,0.03930660571939212,10634,0.0008463419221365431,16.77675380853865,-0.03506532673907699
reverse_complement,10634,19.0,18.84709422606733,10634,0.0011284558961820576,17.526142561594884,0.0166055610453406,10634,0.0,18.009027647169457,-0.019713022308595878
